algoritmo,tamanho,tipo,tempo
bubble,1000,0,.00000640000000000000
bubble,5000,0,.00001200000000000000
bubble,10000,0,.00001980000000000000
bubble,15000,0,.00002800000000000000
bubble,25000,0,.00004160000000000000
bubble,35000,0,.00007860000000000000
bubble,50000,0,.00007640000000000000
bubble,60000,0,.00009160000000000000
bubble,75000,0,.00011840000000000000
bubble,80000,0,.00011880000000000000
bubble,100000,0,.00014960000000000000
bubble,1000,1,.00093460000000000000
bubble,5000,1,.02421660000000000000
bubble,10000,1,.09651040000000000000
bubble,15000,1,.21654120000000000000
bubble,25000,1,.59046780000000000000
bubble,35000,1,1.15247080000000000000
bubble,50000,1,2.34812880000000000000
bubble,60000,1,3.39199620000000000000
bubble,75000,1,5.31954000000000000000
bubble,80000,1,6.03587300000000000000
bubble,100000,1,9.42974240000000000000
bubble,1000,2,.00099680000000000000
bubble,5000,2,.03185740000000000000
bubble,10000,2,.16087020000000000000
bubble,15000,2,.39838920000000000000
bubble,25000,2,1.17661680000000000000
bubble,35000,2,2.38582000000000000000
bubble,50000,2,4.98887960000000000000
bubble,60000,2,7.22256000000000000000
bubble,75000,2,11.40938700000000000000
bubble,80000,2,13.00894260000000000000
bubble,100000,2,20.28741780000000000000
insertion,1000,0,.00000580000000000000
insertion,5000,0,.00001060000000000000
insertion,10000,0,.00001660000000000000
insertion,15000,0,.00002280000000000000
insertion,25000,0,.00003480000000000000
insertion,35000,0,.00005260000000000000
insertion,50000,0,.00006560000000000000
insertion,60000,0,.00007780000000000000
insertion,75000,0,.00009580000000000000
insertion,80000,0,.00010240000000000000
insertion,100000,0,.00012640000000000000
insertion,1000,1,.00044100000000000000
insertion,5000,1,.01032600000000000000
insertion,10000,1,.04071300000000000000
insertion,15000,1,.09143960000000000000
insertion,25000,1,.25493180000000000000
insertion,35000,1,.50138340000000000000
insertion,50000,1,1.01518200000000000000
insertion,60000,1,1.46852520000000000000
insertion,75000,1,2.40783420000000000000
insertion,80000,1,2.62837320000000000000
insertion,100000,1,4.07979380000000000000
insertion,1000,2,.00022080000000000000
insertion,5000,2,.00513460000000000000
insertion,10000,2,.02070100000000000000
insertion,15000,2,.04688720000000000000
insertion,25000,2,.12802480000000000000
insertion,35000,2,.25226380000000000000
insertion,50000,2,.51206260000000000000
insertion,60000,2,.73612460000000000000
insertion,75000,2,1.15603680000000000000
insertion,80000,2,1.34265620000000000000
insertion,100000,2,2.06571840000000000000
merge,1000,0,.00003680000000000000
merge,5000,0,.00015580000000000000
merge,10000,0,.00031680000000000000
merge,15000,0,.00046020000000000000
merge,25000,0,.00083780000000000000
merge,35000,0,.00128820000000000000
merge,50000,0,.00166800000000000000
merge,60000,0,.00212160000000000000
merge,75000,0,.00247260000000000000
merge,80000,0,.00263260000000000000
merge,100000,0,.00331280000000000000
merge,1000,1,.00003180000000000000
merge,5000,1,.00014760000000000000
merge,10000,1,.00029860000000000000
merge,15000,1,.00043320000000000000
merge,25000,1,.00082200000000000000
merge,35000,1,.00113300000000000000
merge,50000,1,.00161320000000000000
merge,60000,1,.00187540000000000000
merge,75000,1,.00238720000000000000
merge,80000,1,.00252160000000000000
merge,100000,1,.00392720000000000000
merge,1000,2,.00009940000000000000
merge,5000,2,.00049460000000000000
merge,10000,2,.00100500000000000000
merge,15000,2,.00155800000000000000
merge,25000,2,.00268100000000000000
merge,35000,2,.00394860000000000000
merge,50000,2,.00575740000000000000
merge,60000,2,.00713600000000000000
merge,75000,2,.00882120000000000000
merge,80000,2,.00946680000000000000
merge,100000,2,.01196320000000000000
quick,1000,0,.00043080000000000000
quick,5000,0,.01037340000000000000
quick,10000,0,.04070220000000000000
quick,15000,0,.09170620000000000000
quick,25000,0,.25389340000000000000
quick,35000,0,.49713440000000000000
quick,50000,0,1.01546540000000000000
quick,60000,0,1.46199000000000000000
quick,75000,0,2.28168920000000000000
quick,80000,0,2.61496700000000000000
quick,100000,0,4.59197840000000000000
quick,1000,1,.00061480000000000000
quick,5000,1,.01424240000000000000
quick,10000,1,.05296240000000000000
quick,15000,1,.11686760000000000000
quick,25000,1,.32071560000000000000
quick,35000,1,.63995060000000000000
quick,50000,1,1.43473720000000000000
quick,60000,1,1.84187140000000000000
quick,75000,1,2.86046440000000000000
quick,80000,1,3.30675220000000000000
quick,100000,1,5.13682060000000000000
quick,1000,2,.00009300000000000000
quick,5000,2,.00049880000000000000
quick,10000,2,.00103160000000000000
quick,15000,2,.00159080000000000000
quick,25000,2,.00278620000000000000
quick,35000,2,.00398320000000000000
quick,50000,2,.00577140000000000000
quick,60000,2,.00712220000000000000
quick,75000,2,.00892960000000000000
quick,80000,2,.00965000000000000000
quick,100000,2,.01204760000000000000
heap,1000,0,.00006460000000000000
heap,5000,0,.00033860000000000000
heap,10000,0,.00074380000000000000
heap,15000,0,.00117140000000000000
heap,25000,0,.00204180000000000000
heap,35000,0,.00293100000000000000
heap,50000,0,.00438480000000000000
heap,60000,0,.00522740000000000000
heap,75000,0,.00674040000000000000
heap,80000,0,.00724380000000000000
heap,100000,0,.00929800000000000000
heap,1000,1,.00006160000000000000
heap,5000,1,.00034380000000000000
heap,10000,1,.00073100000000000000
heap,15000,1,.00116560000000000000
heap,25000,1,.00206200000000000000
heap,35000,1,.00322760000000000000
heap,50000,1,.00435760000000000000
heap,60000,1,.00530420000000000000
heap,75000,1,.00681040000000000000
heap,80000,1,.00729460000000000000
heap,100000,1,.00924060000000000000
heap,1000,2,.00006820000000000000
heap,5000,2,.00038760000000000000
heap,10000,2,.00081360000000000000
heap,15000,2,.00128320000000000000
heap,25000,2,.00232540000000000000
heap,35000,2,.00342100000000000000
heap,50000,2,.00512460000000000000
heap,60000,2,.00632960000000000000
heap,75000,2,.00814980000000000000
heap,80000,2,.00874340000000000000
heap,100000,2,.01169920000000000000
radix,1000,0,.00003980000000000000
radix,5000,0,.00020460000000000000
radix,10000,0,.00041520000000000000
radix,15000,0,.00077760000000000000
radix,25000,0,.00129280000000000000
radix,35000,0,.00191580000000000000
radix,50000,0,.00269400000000000000
radix,60000,0,.00334440000000000000
radix,75000,0,.00402540000000000000
radix,80000,0,.00438920000000000000
radix,100000,0,.00544940000000000000
radix,1000,1,.00005280000000000000
radix,5000,1,.00020820000000000000
radix,10000,1,.00053320000000000000
radix,15000,1,.00078640000000000000
radix,25000,1,.00142280000000000000
radix,35000,1,.00189940000000000000
radix,50000,1,.00266600000000000000
radix,60000,1,.00332060000000000000
radix,75000,1,.00405380000000000000
radix,80000,1,.00436140000000000000
radix,100000,1,.00644720000000000000
radix,1000,2,.00005580000000000000
radix,5000,2,.00025880000000000000
radix,10000,2,.00050760000000000000
radix,15000,2,.00079680000000000000
radix,25000,2,.00127840000000000000
radix,35000,2,.00195580000000000000
radix,50000,2,.00268060000000000000
radix,60000,2,.00331320000000000000
radix,75000,2,.00407580000000000000
radix,80000,2,.00435140000000000000
radix,100000,2,.00544340000000000000
